tstart,alpha,beta,chi,delta,eta,gamma,kappa,lambda,mu,nu,omega,phi,rho,theta
239778096.065,0.00568674097924,3.21661107685e-07,0.468185025777,1.25283935422e-12,6.12166526424e-08,8.568118253e-06,4.57689868621e-12,3.6386370794e-10,7.52858178004e-09,0.525850966446,1.70700209163e-07,6.21588802175e-09,1.81173830193e-17,0.000268130987494
239778352.066,0.00400494856659,1.94875132717e-07,0.467137702959,4.7779516895e-13,3.74462670035e-08,7.70254056536e-06,2.47057794964e-12,2.5955512597e-10,7.75624782566e-09,0.528734482048,9.17210361955e-08,3.88002547362e-09,8.10199261769e-18,0.000114827944271
239778608.067,0.00544878235951,2.61231174123e-07,0.345701405462,2.65649981337e-13,4.86547695583e-08,6.82250564836e-06,2.55072518781e-12,1.549265062e-10,6.04729352563e-09,0.64865858794,2.77079903125e-08,2.33520533471e-09,2.19950680415e-17,0.000184055598065
415697380.07,0.0692836356863,3.60628223528e-06,0.917647814561,2.48047270015e-08,9.69699488905e-06,0.000253012216841,2.07651908753e-11,1.95174566463e-09,8.2218545913e-09,0.0127349699993,3.18506942473e-06,2.20195212318e-05,3.76236969235e-16,4.2024669985e-05
415697636.068,0.642359901604,0.00329537071213,0.305606231723,2.0185136111e-06,0.000294087161112,0.0015017966472,6.02427371656e-10,5.92496492129e-07,4.34665528969e-08,0.0414329096451,7.01326729232e-06,0.00010482281434,8.88999769318e-13,0.00539521134559
415697892.066,0.00210859041558,0.585124371331,3.15379866008e-08,5.61706053169e-16,1.93281879104e-05,9.8843405544e-07,3.99417793443e-11,1.32300146466e-10,3.96486848785e-11,0.398495562578,1.42293400375e-20,4.19890963966e-14,0.000268375981702,0.0139827513212
415698148.064,2.02309285622e-06,0.820369591117,6.73600721676e-10,3.40745607029e-10,4.99454214243e-08,2.48841473209e-07,1.15405937179e-07,3.63444511795e-06,2.49976473436e-09,0.013549182192,4.07044953783e-12,1.88066689249e-12,2.90158521162e-05,0.166046135588
415698404.062,1.69936305692e-07,0.731748632005,9.32537056311e-09,4.5130016864e-09,2.12978094001e-09,1.00295274463e-05,6.66991865416e-07,2.97539846861e-06,5.23555025358e-08,0.00893872769897,2.87283148102e-11,1.61729830209e-11,2.76000383482e-05,0.259271130035
336779744.062,0.000118160993047,0.0366807704998,4.07931790553e-12,2.73185729431e-14,4.34668414746e-07,2.52779208987e-05,0.000487054313983,1.6253802036e-07,0.0328659626803,0.00121384132877,6.43208358539e-14,2.48855956762e-11,0.92860812584,2.0918807839e-07
336780000.062,9.00076043999e-05,0.0280928852208,5.83080399238e-12,1.52261313979e-14,4.8372924138e-07,1.70875525505e-05,0.000502481303883,1.09179160577e-07,0.0196193866304,0.00201701589601,7.38813716693e-14,1.52914449991e-11,0.949660062073,4.8078920924e-07
336780256.062,0.000153891645238,0.0343492143795,3.79649118103e-12,3.19949542001e-14,5.93264885478e-07,2.42606439485e-05,0.000542243422365,1.74673663051e-07,0.0354402668339,0.00114427780573,8.14855999438e-14,3.16811564619e-11,0.928344911623,1.6567194297e-07
336780512.062,0.000180920878059,0.0941564510173,6.14874024827e-12,7.70149709735e-13,1.43746316135e-06,2.73325873166e-05,0.000396743517566,6.67799209415e-07,0.0155287186802,0.00212971048907,3.4216557981e-13,1.08115770249e-10,0.887577463806,5.53647160783e-07
